Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,177.90,19.16,64.82,9.83,0.36,16.34,18.26,163.37,14.16,5.89,1.78,5.77,0.68,43.78,455.06,5.77,0.08,2.61,476.88,1.52,4.19,19.70,41.40,7.07,1.52,1.07,920.21,13.02,0.00,912.83,116.93,2.19,121.16,18.26,102.90,18.16,82.70,-2.04,17.64,0.00,437.42,82.32,39.05,741.76,395.66,222.02,119.80,18.00,20.32,103.84,64.31,31.79,-43.53,-63.26,14.02,626.32
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1042.20,12.13,1216.17,5.18,1.62,14.39,29.94,15931.31,4.70,20.13,2.69,2.45,9.71,-21.01,9835.55,2.45,-0.22,13.10,5923.04,2.39,3.57,-14.50,146.69,0.00,2.39,2.69,4361.62,62.06,-0.01,4361.62,2706.70,115.64,2822.34,155.22,2667.12,1090.24,1576.88,0.00,40.61,0.00,9794.94,8233.88,2926.32,27201.35,3109.49,1155.90,2706.70,1090.24,155.22,2667.12,1216.17,-2921.05,-3016.56,-1613.27,4357.00,42354.28
3B Blackbio,532067,3BBLACKBIO,INE994E01018,Healthcare Services,Healthcare Service Provider,1296.00,25.75,57.43,17.53,0.00,19.40,66.91,0.27,7.19,13.60,6.25,416.89,8.63,38.36,298.22,416.89,0.33,0.01,154.50,1.01,8.04,25.67,51.21,7.19,1.01,5.37,128.98,43.57,-0.34,96.47,50.11,15.08,65.16,1.09,64.07,0.11,63.99,0.03,8.57,0.00,289.65,0.00,0.31,340.83,163.39,26.14,56.20,0.18,1.52,75.04,58.17,43.36,42.46,-33.45,-3.22,1112.90
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,17.65,4.94,58.50,4.06,0.11,8.28,2.66,34.79,14.83,4.79,1.33,12.51,0.52,81.65,364.29,12.51,0.34,1.37,291.39,2.00,3.60,12.95,65.92,0.00,2.00,1.33,704.58,0.00,0.00,725.76,23.76,23.22,46.28,27.78,18.50,7.59,11.61,0.70,207.40,0.00,156.89,32.33,31.18,570.48,273.92,206.45,-0.02,4.23,21.26,52.90,54.74,28.25,29.61,3.19,-25.91,365.86
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,33663.85,38.17,327.63,15.20,0.06,23.85,335.86,103.32,2.53,37.23,2.28,23.15,7.76,89.31,1610.44,23.15,0.06,0.22,1595.61,1.70,27.23,106.85,-336.45,126.65,1.70,1.57,4888.74,19.54,0.00,4445.56,769.68,70.19,839.95,55.29,784.66,11.18,773.40,-0.08,11.27,0.00,1599.17,0.00,99.54,2658.09,2077.56,910.91,955.02,40.85,59.78,945.51,378.35,355.10,300.22,321.96,-788.57,37941.26
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,341.00,13.55,43.30,3.67,0.46,11.89,9.23,290.55,14.50,6.30,1.64,3.03,5.23,-645.74,627.08,3.03,0.62,4.27,547.29,3.07,2.66,16.31,129.92,0.00,3.07,1.64,305.41,31.52,3.72,359.66,127.34,0.01,127.34,12.22,115.12,23.98,91.15,0.01,31.24,0.00,595.84,217.42,0.00,1752.40,1363.57,833.40,96.25,28.66,9.68,86.79,43.30,98.00,90.63,-7.08,-141.49,1598.00
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7434.00,29.93,1669.68,12.83,0.01,22.39,78.73,84.82,1.48,63.33,2.05,113.21,11.93,144.68,7835.99,113.21,0.06,0.05,7327.43,1.66,21.33,129.20,362.79,50.01,1.66,1.69,13202.73,15.49,0.00,13202.73,2044.90,349.32,2397.26,145.53,2251.73,19.89,2228.80,-3.04,42.38,0.00,7793.61,0.00,84.82,13638.48,11749.70,5733.45,2044.90,19.89,145.53,2251.73,1668.26,1219.52,979.89,363.65,-966.23,157564.93
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,16.00,18.43,20.33,8.18,0.29,17.30,0.31,45.84,3.56,24.81,2.21,3.98,4.23,-66.07,157.22,3.98,-0.01,2.84,157.34,1.84,8.39,-43.75,168.63,1.65,1.84,1.27,244.02,15.79,0.00,207.95,33.03,1.11,34.80,5.41,29.39,6.87,21.86,-0.66,63.88,0.00,93.34,85.46,0.39,283.90,219.41,99.22,38.54,9.21,5.04,36.66,20.10,-23.59,-27.84,-3.17,50.19,1031.99
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,105.84,,176.66,,2.67,9.78,,3496.03,3.68,11.74,0.95,1.63,1.58,,1310.31,1.63,,58.66,3306.54,,3.52,11.28,128.46,0.00,,0.49,8163.81,15.93,0.00,7829.96,1223.23,-20.62,1293.87,705.73,588.14,413.47,83.41,-91.26,1220.29,0.55,90.02,100.97,2830.93,9187.45,5049.11,5310.28,1300.37,367.60,786.50,597.70,145.16,1144.17,900.64,139.30,-1230.41,12911.87
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1470.70,-0.16,-207.75,-0.68,1.45,-2.45,-21.94,5489.91,-1.20,-112.58,1.66,-4.57,22.80,-30.42,3779.42,-4.57,-0.24,-34.87,7226.86,3.51,2.23,-12.68,-200.23,-13.85,3.51,0.58,719.33,-33.01,0.00,1218.88,16.06,-94.22,51.39,63.79,-12.40,45.75,-187.70,-129.55,111.69,0.00,3667.73,2948.87,2047.67,17184.07,14572.58,8803.99,-237.42,55.30,64.83,-252.83,-255.41,-1293.44,-1413.44,-437.95,2218.43,16400.98
