Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Earnings yield,EVEBITDA,Current ratio,Interest Coverage Ratio,Price to Sales,Price to Free Cash Flow,Net worth,Interest Coverage,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Market Capt to Cash Flow,Market cap to quarterly profit,Dividend Payout Ratio,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Market Capitalization
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1042.20,12.13,1216.17,5.18,1.62,14.39,29.94,15931.31,4.70,20.13,2.69,2.45,9.71,-21.01,9835.55,2.45,-0.22,13.10,5923.04,2.39,3.57,-14.50,146.69,0.00,2.39,2.69,4361.62,62.06,-0.01,4361.62,2706.70,115.64,2822.34,155.22,2667.12,1090.24,1576.88,0.00,40.61,0.00,9794.94,8233.88,2926.32,27201.35,3109.49,1155.90,2706.70,1090.24,155.22,2667.12,1216.17,-2921.05,-3016.56,-1613.27,4357.00,42354.28
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,17.65,4.94,58.50,4.06,0.11,8.28,2.66,34.79,14.83,4.79,1.33,12.51,0.52,81.65,364.29,12.51,0.34,1.37,291.39,2.00,3.60,12.95,65.92,0.00,2.00,1.33,704.58,0.00,0.00,725.76,23.76,23.22,46.28,27.78,18.50,7.59,11.61,0.70,207.40,0.00,156.89,32.33,31.18,570.48,273.92,206.45,-0.02,4.23,21.26,52.90,54.74,28.25,29.61,3.19,-25.91,365.86
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,722.35,-2.31,-84.63,-1.93,0.00,-1.47,-7.36,5.30,-7.73,-17.73,9.92,-85.27,36.32,-162.92,3493.87,-85.27,0.78,-0.11,2643.89,1.07,3.28,-23.27,-168.21,-16.68,1.07,9.92,91.48,-292.09,0.00,46.82,-238.22,220.52,-48.95,29.23,-78.18,0.67,-47.60,31.25,9.22,0.00,3484.65,0.00,2.85,3869.06,2564.69,258.43,-267.20,1.33,30.77,-113.41,-67.89,-142.78,-154.05,-47.75,164.70,3322.15
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,105.84,,176.66,,2.67,9.78,,3496.03,3.68,11.74,0.95,1.63,1.58,,1310.31,1.63,,58.66,3306.54,,3.52,11.28,128.46,0.00,,0.49,8163.81,15.93,0.00,7829.96,1223.23,-20.62,1293.87,705.73,588.14,413.47,83.41,-91.26,1220.29,0.55,90.02,100.97,2830.93,9187.45,5049.11,5310.28,1300.37,367.60,786.50,597.70,145.16,1144.17,900.64,139.30,-1230.41,12911.87
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1470.70,-0.16,-207.75,-0.68,1.45,-2.45,-21.94,5489.91,-1.20,-112.58,1.66,-4.57,22.80,-30.42,3779.42,-4.57,-0.24,-34.87,7226.86,3.51,2.23,-12.68,-200.23,-13.85,3.51,0.58,719.33,-33.01,0.00,1218.88,16.06,-94.22,51.39,63.79,-12.40,45.75,-187.70,-129.55,111.69,0.00,3667.73,2948.87,2047.67,17184.07,14572.58,8803.99,-237.42,55.30,64.83,-252.83,-255.41,-1293.44,-1413.44,-437.95,2218.43,16400.98
A C J K Exports,544743,AMIRCHAND,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,136.49,14.02,59.97,4.23,2.07,17.37,7.41,784.06,7.25,13.21,1.24,2.00,0.71,27.04,379.18,2.00,-0.43,12.89,381.98,3.74,3.65,14.88,40.73,0.00,3.74,0.45,1997.25,8.19,,1997.25,163.65,2.38,164.90,7.03,157.87,78.78,80.22,1.13,82.04,0.00,297.14,1.57,782.49,1549.03,1449.60,1164.52,163.65,78.78,7.03,157.87,60.82,94.96,93.30,-0.04,-93.30,1413.05
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1536.05,8.48,103.94,2.17,3.22,8.97,157.48,3264.27,8.86,10.96,12.11,1.58,1.83,-12.66,1014.30,1.58,-0.62,37.46,701.38,4.14,1.28,-2.13,40.57,29.60,4.14,12.11,553.92,69.54,0.07,481.57,341.03,2.52,343.55,10.26,333.29,223.51,109.78,0.00,6.60,0.00,1007.70,3060.13,87.67,4388.46,689.55,56.96,385.17,239.37,9.87,377.89,107.71,-477.57,-480.17,162.55,319.38,1015.49
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,17.00,13.78,13.85,0.55,2.07,28.93,0.14,91.30,9.47,9.27,0.79,4.93,0.77,4.84,44.18,4.93,0.20,88.64,-8.68,13.08,1.93,5.43,151.82,0.00,13.08,0.79,384.86,5.44,0.00,336.27,6.66,16.27,28.15,4.93,23.22,7.96,10.04,-5.22,176.12,0.00,-131.94,66.32,25.30,483.86,327.62,413.01,20.93,7.36,4.88,36.28,-0.14,54.21,50.99,-12.43,-39.24,294.54
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,495.00,11.42,1042.24,4.31,2.55,16.86,23.80,17605.53,7.17,13.82,3.99,2.00,6.12,-9.55,6895.17,2.00,-0.97,19.31,1747.10,3.32,2.33,-7.11,73.32,0.00,3.32,3.99,3520.63,76.56,-10.29,3107.63,2371.26,1.01,2372.54,25.24,2347.30,1173.77,1173.26,-0.27,433.80,0.00,6461.37,16262.65,59.77,25083.49,2190.82,549.07,2695.55,1335.77,27.87,2675.26,1029.80,-3026.65,-3041.24,159.53,3389.23,21529.84
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,92.38,6.38,3.43,1.35,0.34,2.96,1.21,50.78,3.37,24.10,1.79,2.27,0.67,-846.32,148.85,2.27,-0.15,12.63,138.60,2.14,4.04,25.46,460.07,0.00,2.14,1.52,390.90,-0.35,-1.35,473.93,2.90,9.81,12.71,1.94,10.77,4.66,6.11,0.00,28.45,0.00,120.40,33.73,1.13,294.00,256.36,142.85,-1.37,4.52,2.42,10.27,3.43,10.30,5.10,-5.94,-4.48,262.24
