Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return on capital employed,Profit after tax,Return on assets,Debt to equity,Return on equity,EPS,Debt,Current ratio,Interest Coverage Ratio,Net worth,Debt Capacity,Debt To Profit,Total Capital Employed,Leverage,Altman Z Score,Financial leverage,Quick ratio,Sales,OPM,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Extraordinary items last year,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Current assets,Current liabilities,Operating profit,Interest,Depreciation,EBIT,Net profit,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Piotroski score,Debtor days,Days Inventory Outstanding,Cash Conversion Cycle,Contingent liabilities,Market Capitalization
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,3583.10,57.47,391.43,34.03,0.08,45.30,47.15,83.25,4.12,34.50,1025.06,0.04,0.21,807.59,1.12,39.62,1.12,4.12,1207.77,47.37,0.00,1207.77,572.13,0.05,572.18,29.09,543.09,15.74,527.35,0.00,41.51,0.00,983.55,17.02,66.23,1332.22,828.33,200.92,572.13,15.74,29.09,543.09,391.43,253.71,240.16,88.55,-141.86,8.00,12.51,,12.51,0.00,29747.12
Apcotex Industri,523694,APCOTEXIND,INE116A01032,Industrial Products,Rubber,488.40,19.88,100.70,10.14,0.16,17.15,19.56,96.40,1.66,12.94,620.99,0.15,0.95,572.41,1.60,7.17,1.60,1.23,1441.50,12.31,0.00,1441.50,177.41,18.21,194.65,49.56,145.09,11.21,134.85,0.97,10.37,0.00,610.62,184.79,4.55,986.49,495.39,298.10,177.41,11.21,49.56,145.09,101.41,203.44,165.23,-57.41,-140.89,9.00,61.91,47.26,41.16,124.04,2532.11
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,1890.20,31.64,1203.08,14.65,0.09,25.31,43.33,497.65,1.34,13.42,5296.53,0.08,0.41,5373.90,1.55,13.72,1.55,0.84,23079.00,7.81,-0.02,23079.00,1801.82,111.85,1913.67,230.92,1682.75,125.37,1557.38,0.00,55.54,0.00,5240.99,580.71,53.72,8833.30,3854.14,2868.95,1801.82,125.37,230.92,1682.75,1203.08,2103.19,1451.18,-1393.76,-438.40,8.00,5.55,27.04,-11.72,648.39,52482.99
Apollo Hospitals,508869,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,8082.50,16.64,1816.05,7.77,0.88,18.42,125.32,7987.20,1.64,6.56,9093.30,0.01,5.31,15340.80,2.28,10.76,2.28,1.53,24215.20,14.57,0.00,21794.00,3033.20,221.90,3184.00,757.50,2426.50,458.50,2039.10,71.10,71.90,2445.10,9021.40,2813.40,2605.80,21950.00,7815.90,4763.50,3528.00,445.30,862.70,2919.40,1865.80,2136.40,438.60,-3380.60,1316.80,8.00,50.51,15.52,-6.28,1010.40,116213.95
Arrow Greentech,516064,ARROWGREEN,INE570D01018,Industrial Products,Packaging,482.95,53.25,51.39,35.18,0.01,39.57,34.06,2.60,10.77,201.14,211.69,0.24,0.04,208.60,0.94,8.93,0.94,9.40,216.02,32.52,0.02,243.35,88.62,5.26,92.79,7.40,85.39,0.48,86.00,1.09,15.09,0.00,196.60,0.00,0.67,236.45,185.19,17.19,70.25,0.35,7.76,70.40,51.34,67.57,60.83,-54.58,-3.92,9.00,43.96,65.90,80.87,31.92,728.67
ASM Technologies,526433,,INE867C01010,IT - Software,Computers - Software & Consulting,2984.50,27.56,61.92,15.68,0.42,26.23,41.65,127.68,2.61,10.71,307.04,0.01,2.10,310.60,1.29,16.81,1.29,2.00,528.52,19.02,0.00,528.52,100.54,6.38,108.53,13.97,94.56,8.83,84.12,-1.61,14.59,0.00,292.45,92.78,-6.52,502.92,298.13,114.18,100.54,8.83,13.97,94.56,60.76,68.00,-25.17,-165.56,101.58,8.00,79.92,204.01,201.80,22.41,4353.39
Auto.Corp.of Goa,505036,,INE451C01013,Auto Components,Auto Components & Equipments,1937.40,29.67,72.33,15.65,0.03,25.73,114.79,9.52,2.66,750.46,308.59,0.26,0.14,320.02,1.50,8.38,1.50,2.16,933.65,9.18,-0.79,933.65,85.73,14.21,103.23,5.67,97.56,0.13,94.14,-3.29,6.09,0.00,302.50,0.00,85.74,458.81,359.65,135.05,85.73,0.13,5.67,97.56,69.89,136.17,99.38,40.84,-91.57,9.00,24.52,37.84,1.53,8.30,1179.61
Axtel Industries,523850,,INE767C01012,Industrial Manufacturing,Industrial Products,442.95,33.69,31.16,15.45,0.00,25.21,19.29,0.00,2.09,166.60,124.65,0.26,0.00,125.13,1.62,8.31,1.62,1.71,223.77,18.18,0.00,223.77,40.69,5.93,46.62,4.97,41.65,0.25,41.40,0.00,16.15,0.00,108.50,0.00,0.00,215.64,178.77,85.37,40.69,0.25,4.97,41.65,31.16,51.06,43.20,-27.67,-29.33,9.00,73.61,127.50,76.23,22.42,715.58
Bajaj Consumer,533229,BAJAJCON,INE933K01021,Personal Products,Personal Care,537.45,30.60,190.18,20.60,0.02,25.31,14.56,15.80,3.49,144.71,754.98,0.11,0.08,758.49,1.22,15.60,1.22,3.11,1164.71,18.97,0.00,1164.71,220.92,27.41,248.33,15.35,232.98,1.61,231.37,0.00,13.06,0.00,741.92,0.00,4.17,945.13,607.49,173.98,220.92,1.61,15.35,232.98,190.18,196.92,163.44,-14.45,-196.49,8.00,23.70,52.49,42.49,9.32,7020.08
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,423.65,38.88,5963.82,13.21,0.00,29.22,8.16,58.89,1.82,729.86,21566.87,0.06,0.01,21173.27,2.01,13.94,2.01,1.31,26535.27,29.71,0.00,23768.75,6836.55,742.36,7555.83,467.38,7088.45,12.53,7099.00,23.08,730.98,0.00,20835.89,0.00,61.23,42924.52,36692.87,20197.72,7883.74,10.98,520.30,8013.86,5962.93,586.62,-421.61,616.94,-1696.43,8.00,139.99,273.14,313.14,3015.10,309678.78
