company,report_date,bs_borrowings,bs_capital_work_in_progress,bs_cash_bank,bs_equity_share_capital,bs_face_value,bs_inventory,bs_investments,bs_net_block,bs_no_of_equity_shares,bs_other_assets,bs_other_liabilities,bs_receivables,bs_reserves,bs_total,cf_cash_from_financing_activity,cf_cash_from_investing_activity,cf_cash_from_operating_activity,cf_net_cash_flow,pl_change_in_inventory,pl_depreciation,pl_dividend_amount,pl_employee_cost,pl_interest,pl_net_profit,pl_other_expenses,pl_other_income,pl_other_mfr_exp,pl_power_and_fuel,pl_profit_before_tax,pl_raw_material_cost,pl_sales,pl_selling_and_admin,pl_tax,status_group,source_file,fy,bs_new_bonus_shares
Akar Auto Indust,2016-03-31,44.8,0.84,1.35,5.39,10.0,48.97,0.11,29.52,5394005.0,95.49,56.19,35.48,19.58,125.96,2.85,-3.63,0.82,0.05,-0.81,2.9,0.54,13.69,6.71,1.84,-0.45,0.16,14.45,13.95,2.83,120.57,183.59,8.29,1.01,distressed,Akar Auto Indust.xlsx,2016,
Akar Auto Indust,2017-03-31,51.06,2.52,1.54,5.39,10.0,48.34,0.08,34.98,5394005.0,87.54,48.55,31.17,20.12,125.12,-2.14,-9.97,12.3,0.19,-3.17,3.14,0.59,16.02,7.15,2.46,-0.62,0.27,14.93,14.36,3.86,118.11,188.67,8.82,1.41,distressed,Akar Auto Indust.xlsx,2017,
Akar Auto Indust,2018-03-31,57.01,1.16,1.2,5.39,5.0,53.8,0.08,37.23,10788010.0,102.03,55.5,36.85,22.6,140.5,-3.51,-4.47,8.67,0.7,6.62,3.7,0.59,21.78,8.45,3.2,0.01,-1.32,20.2,16.77,4.97,161.46,241.0,8.96,1.77,distressed,Akar Auto Indust.xlsx,2018,
Akar Auto Indust,2019-03-31,66.35,4.11,1.88,5.39,5.0,61.47,0.06,38.77,10788010.0,109.79,54.02,38.22,26.97,152.73,0.55,-8.34,7.43,-0.36,9.56,4.07,0.59,26.06,8.11,5.21,0.25,-0.41,20.26,21.69,5.91,189.4,276.58,9.98,0.7,distressed,Akar Auto Indust.xlsx,2019,
Akar Auto Indust,2020-03-31,66.2,,2.64,5.39,5.0,59.46,0.06,43.38,10788010.0,100.88,49.56,30.78,23.17,144.32,-9.0,-4.68,14.44,0.76,-2.78,4.32,,27.1,7.66,-3.06,0.01,0.15,14.46,16.7,-2.49,118.11,197.63,9.13,0.57,distressed,Akar Auto Indust.xlsx,2020,
Akar Auto Indust,2021-03-31,78.94,,2.09,5.39,5.0,68.78,0.06,42.13,10788010.0,117.19,54.84,39.56,20.21,159.38,0.7,-1.49,0.25,-0.54,5.32,4.5,,28.04,8.05,-2.84,0.22,1.76,13.49,15.74,-2.09,117.7,186.93,8.36,0.74,distressed,Akar Auto Indust.xlsx,2021,
Akar Auto Indust,2022-03-31,71.38,0.22,3.07,5.39,5.0,74.99,0.06,37.65,10788010.0,120.83,54.9,35.41,27.09,158.76,-14.91,0.42,15.47,0.97,2.99,4.43,0.27,33.48,8.02,6.88,0.02,0.59,19.92,20.67,7.34,167.32,269.22,11.6,0.46,distressed,Akar Auto Indust.xlsx,2022,
Akar Auto Indust,2023-03-31,64.75,0.77,3.85,5.39,5.0,78.58,0.06,41.15,10788010.0,144.94,82.6,48.78,34.18,186.92,-15.86,-7.92,24.56,0.78,-5.42,4.05,0.54,39.42,10.04,6.88,0.4,0.18,21.67,29.95,8.29,231.8,365.98,15.12,1.41,distressed,Akar Auto Indust.xlsx,2023,
Akar Auto Indust,2024-03-31,83.08,,3.36,5.39,5.0,88.87,0.06,55.46,10788010.0,160.72,88.69,55.02,39.08,216.24,6.95,-17.34,9.91,-0.49,4.65,4.04,0.65,44.82,11.18,5.49,0.41,0.24,24.64,30.4,8.91,236.2,372.6,16.89,3.41,distressed,Akar Auto Indust.xlsx,2024,
Akar Auto Indust,2025-03-31,79.75,3.52,3.83,5.39,5.0,94.34,0.06,55.8,10788010.0,175.99,105.43,59.81,44.8,235.37,-16.93,-8.44,25.84,0.47,4.36,4.87,0.65,48.16,12.95,6.45,-2.69,0.29,37.93,18.71,9.09,228.01,374.16,21.78,2.63,distressed,Akar Auto Indust.xlsx,2025,
Auto.Corp.of Goa,2017-03-31,2.39,7.92,2.0,6.42,10.0,53.89,,62.95,6421622.0,227.93,99.81,54.78,190.18,298.8,-14.13,-5.34,19.48,0.01,10.36,5.62,11.24,45.55,0.25,20.98,8.46,7.8,63.23,3.8,32.43,322.5,467.42,3.74,11.46,distressed,Auto.Corp.of Goa.xlsx,2017,
Auto.Corp.of Goa,2018-03-31,5.93,7.7,2.1,6.42,10.0,47.66,3.18,59.35,6421622.0,240.37,100.92,58.25,197.33,310.6,-10.23,-29.41,39.65,,-2.6,5.32,11.24,43.26,0.39,20.16,11.91,9.69,62.69,4.33,32.77,330.27,489.42,5.57,12.62,distressed,Auto.Corp.of Goa.xlsx,2018,
Auto.Corp.of Goa,2019-03-31,,7.38,3.66,6.42,10.0,47.1,7.16,55.68,6421622.0,229.65,89.53,67.7,203.92,299.87,-19.55,25.91,-4.68,1.67,-0.24,5.29,11.24,46.78,0.14,20.86,8.02,5.83,54.75,4.21,31.73,274.97,426.17,5.87,10.86,distressed,Auto.Corp.of Goa.xlsx,2019,
Auto.Corp.of Goa,2020-03-31,0.54,0.06,11.73,6.09,10.0,39.54,6.04,59.76,6088622.0,193.74,77.48,49.49,175.49,259.6,-38.56,25.24,21.47,8.15,-1.76,5.23,6.09,45.54,0.19,9.96,8.8,9.03,43.96,3.42,13.32,217.23,333.17,2.75,3.37,distressed,Auto.Corp.of Goa.xlsx,2020,
Auto.Corp.of Goa,2021-03-31,17.43,,1.64,6.09,10.0,39.45,8.96,54.97,6088622.0,170.14,49.88,23.86,160.67,234.07,13.67,-3.33,-19.95,-9.61,1.0,5.1,,40.18,0.11,-12.51,4.62,10.42,11.38,2.55,-16.3,75.98,115.7,3.5,-3.79,distressed,Auto.Corp.of Goa.xlsx,2021,
Auto.Corp.of Goa,2022-03-31,42.95,,7.21,6.09,10.0,39.81,10.73,50.33,6088622.0,225.13,74.31,72.12,162.84,286.19,25.43,9.0,-28.64,5.79,-0.87,4.97,,39.19,0.09,3.44,3.0,1.35,24.2,3.33,3.35,199.61,281.78,4.52,-0.1,distressed,Auto.Corp.of Goa.xlsx,2022,
